properties	Shannon	Chao	NPE	TP	AP	pH	SOC	TN	TK	AK	AN	PAC
6NS3	4.95899	657.7488	1.842767	0.32	3.31	4.76	4.231156934	0.463591433	11.89557613	120	10.27804482	1.034375
6NSM1	5.25679	819.4105	1.347072	0.43	7.71	4.67	6.798277098	0.526966292	12.45411641	110	7.633347193	1.793023256
6NSM2	5.221605	909.105	1.448878	0.39	6.76	4.68	4.167394831	0.538231323	13.64483493	127.5	6.935038934	1.733333333
6NSM3	5.407034	868.5858	1.330166	0.45	10.91	4.7	5.102527796	0.612957431	12.28852309	112.5	9.382198675	2.424444444
6NB1	5.25679	836.1875	1.553846	0.42	5.8	4.82	8.130151619	0.59	12.13592233	160	8.236183617	1.380952381
6NB2	5.221605	848.2666	1.315315	0.39	4.04	4.78	6.597919174	0.506554935	12.94889503	135	7.783277372	1.035897436
6NB3	5.407034	892.6966	1.448	0.41	6.36	4.86	6.216197308	0.541758788	11.78257227	212.5	8.43113021	1.551219512
7CK1	3.476123	499.4179	1.457227	0.267625748	1.47	4.43	2.518716397	0.412977778	11.65501166	49.87212276	10.83	0.549274504
7CK2	3.486254	517.8	1.147826	0.257801572	1.33	4.38	2.484511019	0.393039804	13.69201031	49.87212276	9.31	0.515900656
7CK3	3.508993	532.2	1.089506	0.275514859	1.13	4.32	2.592315791	0.428993536	13.4180791	62.34015345	9.51	0.410141219
7N1	3.744816	569.2667	0.997382	0.365032223	4.68	4.18	3.779720816	0.452661064	11.46235521	112.2122762	16.64	1.282078596
7N2	3.942509	546.3245	1.39433	0.401060363	3.31	4.3	3.921113689	0.441488697	12.25490196	99.74424552	10.975	0.825312174
7N3	4.313448	651.9939	1.5	0.344756712	4.12	4.22	4.169452443	0.458518334	13.19957761	124.6803069	18.735	1.195045624
7NS1	5.218747	925.756	1.076923	0.478704071	6.04	4.23	4.814223843	0.511906677	11.75548589	149.6163683	14.525	1.261739844
7NS2	5.214103	894.7448	1.014035	0.386671349	4.04	4.32	3.944272215	0.488192239	14.57399103	162.084399	11.715	1.044814934
7NS3	5.212325	913.362	1.012085	0.387646916	4.42	4.12	4.554839229	0.519914601	12.21896383	149.6163683	20.64	1.140212863
7NSM1	5.263294	806.8625	1.362445	0.475499689	13.17	4.14	5.510167571	0.600663746	13.60252005	149.6163683	25.645	2.7697179
7NSM2	5.075904	816.8553	1.766376	0.463446685	8.86	4.26	4.894671227	0.57851735	12.96936759	112.2122762	13.545	1.911762515
7NSM3	4.752359	840.2182	1.032751	0.49339097	12.62	4.27	5.121809745	0.720931124	13.38454376	112.2122762	14.685	2.557809276
7NB1	5.322396	947.2353	1.225564	0.370708739	4.79	4.42	5.939675174	0.591885897	13.15789474	149.6163683	11.77	1.292119526
7NB2	5.385696	838.6118	1.102757	0.380705387	3.67	4.35	5.263970361	0.580180492	14.1765286	149.6163683	15.41	0.964000018
7NB3	5.292976	1095.419	0.89313	0.40549546	6.24	4.3	5.756471358	0.619260017	13.24419778	174.5524297	16.815	1.538858166
