0-1yr	X	CK	X	N	X	NS	X	NSM	X	NB	2-3yr	X	CK	X	N	X	NS	X	NSM	X	NB	4-5yr	X	CK	X	N	X	NS	X	NSM	X	NB	4-5yr	X	CK	X	N	X	NS	X	NSM	X	NB
	0.079665	0.15006	0.093366	0.140311	0.096939	0.304575	0.130584	0.445708	0.143396	0.12112		0.087963	0.183499	0.125	0.305487	0.0475	0.203846	0.061389	0.826611	0.064957	0.314395		0.164502	0.067072	0.052055	0.226454	0.073643	0.522274	0.058193	0.475727	0.051842	0.259747		0.246753	0.018448	0.051144	0.289772	0.070501	0.573242	0.050066	0.468645	0.049608	0.349431
	0.081761	0.149845	0.095823	0.138474	0.09949	0.305458	0.134021	0.439453	0.14717	0.121686		0.090278	0.183977	0.128289	0.298324	0.04875	0.203876	0.063005	0.824556	0.066667	0.309962		0.168831	0.06634	0.053425	0.225326	0.075581	0.51765	0.059724	0.475482	0.053206	0.260127		0.253247	0.018682	0.05249	0.290186	0.072356	0.570321	0.051383	0.464808	0.050914	0.349917
	0.083857	0.149971	0.09828	0.138864	0.102041	0.306346	0.137457	0.434985	0.150943	0.118043		0.092593	0.184455	0.131579	0.290133	0.05	0.204148	0.06462	0.822123	0.068376	0.305451		0.17316	0.058694	0.054795	0.224652	0.077519	0.518757	0.061256	0.472421	0.05457	0.260271		0.25974	0.01872	0.053836	0.287616	0.074212	0.566318	0.052701	0.463544	0.052219	0.350404
	0.085954	0.144097	0.100737	0.139256	0.104592	0.300977	0.140893	0.427567	0.154717	0.1186		0.094907	0.177489	0.134868	0.29123	0.05125	0.204421	0.066236	0.821968	0.070085	0.306005		0.177489	0.059036	0.056164	0.224972	0.079457	0.519868	0.062787	0.470184	0.055935	0.260652		0.266234	0.018753	0.055182	0.288031	0.076067	0.565462	0.054018	0.462167	0.053525	0.350893
	0.08805	0.142202	0.103194	0.136028	0.107143	0.295297	0.14433	0.419409	0.158491	0.10787		0.097222	0.172018	0.138158	0.285175	0.0525	0.204177	0.067851	0.819057	0.071795	0.306578		0.181818	0.059383	0.057534	0.225153	0.081395	0.51808	0.064319	0.470963	0.057299	0.261033		0.272727	0.018604	0.056528	0.288093	0.077922	0.563804	0.055336	0.460173	0.05483	0.351074
	0.090147	0.139399	0.105651	0.13092	0.109694	0.288253	0.147766	0.413327	0.162264	0.108386		0.099537	0.166719	0.141447	0.277506	0.05375	0.204424	0.069467	0.816586	0.073504	0.307153		0.186147	0.044377	0.058904	0.22427	0.083333	0.518528	0.06585	0.471745	0.058663	0.261417		0.279221	0.018623	0.057873	0.288417	0.079777	0.560854	0.056653	0.457729	0.056136	0.351565
	0.092243	0.139728	0.108108	0.125635	0.112245	0.281814	0.151203	0.408174	0.166038	0.108908		0.101852	0.167145	0.144737	0.278454	0.055	0.20469	0.071082	0.815224	0.075214	0.302983		0.190476	0.036072	0.060274	0.224602	0.085271	0.513076	0.067381	0.472529	0.060027	0.261799		0.285714	0.018807	0.059219	0.288452	0.081633	0.561808	0.057971	0.457423	0.057441	0.350616
	0.09434	0.137337	0.110565	0.125995	0.114796	0.282645	0.154639	0.400192	0.169811	0.098794		0.104167	0.160303	0.148026	0.274923	0.05625	0.204416	0.072698	0.812627	0.076923	0.303553		0.194805	0.024946	0.061644	0.223313	0.087209	0.508271	0.068913	0.469068	0.061392	0.257649		0.292208	0.019061	0.060565	0.288716	0.083488	0.559067	0.059289	0.458071	0.058747	0.351108
	0.096436	0.137664	0.113022	0.126357	0.117347	0.283482	0.158076	0.393157	0.173585	0.099275		0.106481	0.157235	0.151316	0.273982	0.0575	0.204581	0.074313	0.810088	0.078632	0.304125		0.199134	0.025099	0.063014	0.223644	0.089147	0.503733	0.070444	0.469851	0.062756	0.254461		0.298701	0.019253	0.061911	0.289136	0.085343	0.556434	0.060606	0.456442	0.060052	0.349955
	0.098532	0.135063	0.115479	0.12672	0.119898	0.284323	0.161512	0.384196	0.177358	0.099662		0.108796	0.157656	0.154605	0.275062	0.05875	0.204118	0.075929	0.809284	0.080342	0.3047		0.203463	0.025267	0.064384	0.222182	0.091085	0.50139	0.071975	0.467282	0.06412	0.253464		0.305195	0.017788	0.063257	0.289557	0.087199	0.557559	0.061924	0.45709	0.061358	0.349105
	0.100629	0.131215	0.117936	0.127086	0.122449	0.276738	0.164948	0.377958	0.181132	0.100152		0.111111	0.158073	0.157895	0.266899	0.06	0.204393	0.077544	0.806011	0.082051	0.305276		0.207792	0.025437	0.065753	0.22003	0.093023	0.498889	0.073507	0.468064	0.065484	0.250532		0.311688	0.016378	0.064603	0.289979	0.089054	0.554129	0.063241	0.45774	0.062663	0.34782
	0.102725	0.131529	0.120393	0.127454	0.125	0.277565	0.168385	0.368543	0.184906	0.100647		0.113426	0.152223	0.161184	0.260084	0.06125	0.204669	0.07916	0.805121	0.083761	0.305855		0.212121	0.025609	0.067123	0.217142	0.094961	0.498062	0.075038	0.468734	0.066849	0.246825		0.318182	0.016064	0.065949	0.290402	0.090909	0.554181	0.064559	0.454864	0.063969	0.346934
	0.104822	0.13113	0.12285	0.127824	0.127551	0.278397	0.171821	0.370111	0.188679	0.101148		0.115741	0.145326	0.164474	0.261142	0.0625	0.204946	0.080775	0.801859	0.08547	0.302179		0.21645	0.025783	0.068493	0.215596	0.096899	0.493076	0.07657	0.467524	0.068213	0.243106		0.324675	0.016195	0.067295	0.290826	0.092764	0.553858	0.065876	0.455513	0.065274	0.347424
	0.106918	0.131234	0.125307	0.128196	0.130102	0.279234	0.175258	0.364037	0.192453	0.101531		0.118056	0.145363	0.167763	0.259177	0.06375	0.205223	0.082391	0.799615	0.087179	0.302754		0.220779	0.025959	0.069863	0.214574	0.098837	0.490484	0.078101	0.46831	0.069577	0.239911		0.331169	0.016437	0.068641	0.288273	0.09462	0.555009	0.067194	0.456164	0.06658	0.347916
	0.109015	0.124656	0.127764	0.12857	0.132653	0.280076	0.178694	0.356234	0.196226	0.10196		0.12037	0.139298	0.171053	0.256221	0.065	0.20217	0.084006	0.797001	0.088889	0.303332		0.225108	0.026119	0.071233	0.214715	0.100775	0.490436	0.079632	0.464163	0.070941	0.2388		0.337662	0.016685	0.069987	0.287526	0.096475	0.552267	0.068511	0.452798	0.067885	0.348409
	0.111111	0.121323	0.130221	0.128947	0.135204	0.280923	0.182131	0.357777	0.2	0.102474		0.122685	0.135374	0.174342	0.257277	0.06625	0.202445	0.085622	0.794348	0.090598	0.303269		0.229437	0.023326	0.072603	0.214697	0.102713	0.486159	0.081164	0.464946	0.072306	0.235581		0.344156	0.016633	0.071332	0.287948	0.09833	0.553419	0.069829	0.453446	0.069191	0.348261
