ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	mean	Label
otu40152	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumdiazoefficiens	2.166666667	otu40152
otu97190	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	7.166666667	otu97190
otu73162	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	4.666666667	otu73162
otu29232	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumdiazoefficiens	13.66666667	otu29232
otu3598	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	3.166666667	otu3598
otu6545	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumoligotrophicum	2	otu6545
otu80682	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	7.333333333	otu80682
otu45630	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	4.333333333	otu45630
otu84171	k__Bacteria	c__Betaproteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__Cupriavidustaiwanensis	7.333333333	otu84171
otu91534	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumdiazoefficiens	2.833333333	otu91534
otu76666	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumdiazoefficiens	2.5	otu76666
otu125107	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumdiazoefficiens	2.333333333	otu125107
otu86410	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	2.333333333	otu86410
otu92616	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumoligotrophicum	14.66666667	otu92616
otu122245	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	2.666666667	otu122245
otu21182	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	2.166666667	otu21182
otu53553	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumdiazoefficiens	5.666666667	otu53553
otu1370	k__Bacteria	c__Betaproteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Collimonas	s__Collimonasfungivorans	3.5	otu1370
otu105294	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	1.833333333	otu105294
otu23470	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	5.166666667	otu23470
otu104009	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	3.5	otu104009
otu52285	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	15.83333333	otu52285
otu29204	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	15.66666667	otu29204
otu75353	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	2.666666667	otu75353
otu42230	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	5	otu42230
otu125306	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	18	otu125306
otu89278	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	3.166666667	otu89278
otu98086	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	5	otu98086
otu56316	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	3	otu56316
otu38765	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	4.833333333	otu38765
otu120443	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	2.5	otu120443
otu1170	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumdiazoefficiens	9.333333333	otu1170
otu63095	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumoligotrophicum	3.333333333	otu63095
otu56697	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumjaponicum	2.5	otu56697
otu104536	k__Bacteria	c__Alphaproteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Bradyrhizobium	s__Bradyrhizobiumsp.S23321	6.166666667	otu104536
